ORIGINAL_VARNAME,VARNAME,STANDARD_NAME,LONG_NAME,UNITS,COMMENT,ANCILLARY_VARIABLES,VALID_MIN,VALID_MAX,METHOD,REFERENCE_DATUM,POSITIVE
Total_Hs,WSSH,,sea surface wave spectral significant height,m,,WAVE_quality_control,0,100,Spectral analysis method,,
Total_Hs_time_domain,WHTH,sea_surface_wave_significant_height,,m,,WAVE_quality_control,0,100,Time domain analysis method,,
Total_Tp,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,,s,Period of the peak of the energy spectrum,WAVE_quality_control,0,50,Spectral analysis method,,
Total_Tm,WPFM,sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,WAVE_quality_control,0,50,Spectral analysis method,,
Total_Tmax,THMAX,sea_surface_wave_period_of_highest_wave,,s,,WAVE_quality_control,0,50,Time domain analysis method,,
Total_Ts,WPTH,sea_surface_wave_significant_period,,s,,WAVE_quality_control,0,50,Time domain analysis method,,
Total_Tz,WPMH,sea_surface_wave_mean_period,,s,,WAVE_quality_control,0,50,Time domain analysis method,,
,,,,,,,,,,,
,,,,,,,,,,,
Sea_Hs,WWSSH,,sea surface wind wave significant height,m,Analysed by spectral method,,0,100,,,
Sea_Tp,WWPP,sea_surface_wind_wave_period_at_variance_spectral_density_maximum,,s,Analysed by spectral method,,0,50,,,
Sea_Tm,WWPFM,sea_surface_wind_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,Analysed by spectral method. The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,,0,50,,,
Sea_Dir,WWPD,,sea surface wind wave from direction at variance spectral density maximum,degree,Analysed by spectral method,,0,360,,magnetic north,clockwise
Sea_Tz,WWPTH,sea_surface_wind_wave_mean_period,,s,,,0,50,,,
,,,,,,,,,,,
,,,,,,,,,,,
Swell_Hs,SWSSH,,sea surface swell wave significant height,m,Analysed by spectral method,,0,100,,,
Swell_Tp,SWPP,,sea surface swell wave period at variance spectral density maximum,s,Analysed by spectral method,,0,50,,,
Swell_Tm,SWPFM,sea_surface_swell_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,Analysed by spectral method.The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,,0,50,,,
Swell_Dir,SWPD,,sea surface swell wave from direction at variance spectral density maximum,degree,Analysed by spectral method,,0,360,,magnetic north,clockwise
Swell_Tz,SWPTH,sea_surface_swell_wave_mean_period,,s,,,0,50,,,
,,,,,,,,,,,
Temp,TEMP,sea_water_temperature,sea water temperature at sea surface,degrees celsius,,TEMP_quality_control,0,40,,buoy,
,,,,,,,,,,,
RMS_Hrms,HRMS,,sea_surface_wave_root_mean_square_wave_height,m,Analysed by wave by wave method,,,,,,
RMS_Tmax,THMAX,sea_surface_wave_period_of_highest_wave,,s,Analysed by wave by wave method,,,,,,
RMS_Tz,WPMH,sea_surface_wave_mean_period,,s,Analysed by wave by wave method,,,,,,
,,,,,,,,,,,
10_H10,WHTE,sea_surface_wave_mean_height_of_highest_tenth,,m,Analysed by zero crossing method,,,,,,
10_Tmax,THMAX,sea_surface_wave_period_of_highest_wave,,s,Analysed by wave by wave method,,,,,,
10_T10,WPTE,sea_surface_wave_mean_period_of_highest_tenth,,s,Analysed by wave by wave method,WAVE_quality_control,,,Time domain analysis method,,
